task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
7,7,0.4797,15907,20,0,0,794,219,5,0.713601,0.05243786,0.133750
8,8,0.5271,16399,20,0,0,794,209,0,0.750163,0.05165101,0.117778
9,9,0.4719,16940,20,0,0,794,191,0,0.759405,0.05033889,0.102000
0,0,0.4629,14136,10,0,0,794,426,368,0.640655,0.08673435,1.000000
1,1,0.4588,14213,17,0,0,794,378,6,0.640495,0.07088911,0.870000
2,2,0.4589,14343,20,0,0,794,336,30,0.628809,0.06382398,0.476667
3,3,0.4984,14539,20,0,0,794,303,6,0.639601,0.05958047,0.272500
4,4,0.4686,14793,20,0,0,794,270,4,0.613962,0.05544107,0.214000
5,5,0.5101,15105,20,0,0,794,259,3,0.642700,0.05298314,0.180000
6,6,0.4686,15469,20,0,0,794,245,3,0.640513,0.05047937,0.161429
7,7,0.4698,15894,20,0,0,794,218,13,0.646030,0.04821069,0.213750
8,8,0.4663,16386,20,0,0,794,205,0,0.646253,0.04685737,0.122222
9,9,0.4728,16929,20,0,0,794,194,0,0.640043,0.04678612,0.100000
0,0,28.5272,15148,1180,0,0,794,304,490,0.598295,0.22485642,0.010000
1,1,32.4065,16504,1236,0,0,794,286,17,0.605595,1.27997804,0.120000
2,2,28.6768,17924,1186,0,0,794,225,58,0.588259,1.31026208,0.048333
3,3,30.2831,19496,1225,0,0,794,196,27,0.606495,1.93895113,0.037500
4,4,29.1544,21122,1157,0,0,794,187,7,0.625212,2.38895941,0.045000
5,5,26.4183,22788,1078,0,0,794,171,13,0.643176,2.64967418,0.036667
6,6,29.0278,24665,1161,0,0,794,155,14,0.627064,2.64905858,0.034286
7,7,30.4777,26719,1228,0,0,794,131,23,0.631107,3.82715297,0.056250
8,8,28.7937,28835,1178,0,0,794,129,2,0.652941,3.91545296,0.050000
9,9,30.2540,31084,1178,0,0,794,126,3,0.671238,4.43857098,0.074500
0,0,42.3778,15229,1180,0,200,794,0,316,678,200,2.239768,0.634234,0.11020684,0.005000
1,1,47.5864,16633,1284,0,200,794,0,299,14,200,0.886445,0.639955,0.14057967,0.042500
2,2,40.7599,18031,1176,0,200,794,0,241,53,200,1.478659,0.635372,0.17495461,0.085000
3,3,41.6345,19608,1221,0,200,794,0,216,21,200,2.165474,0.613500,0.20609100,0.076250
4,4,39.3217,21230,1146,0,200,794,0,201,12,200,1.533275,0.613706,0.21504164,0.069000
5,5,37.2783,22907,1081,0,200,794,0,181,11,200,1.450002,0.612627,0.22650430,0.200833
6,6,40.9755,24783,1167,0,200,794,0,167,12,200,1.768010,0.602315,0.24207917,0.167143
7,7,41.6879,26865,1245,0,200,794,0,140,25,200,1.210001,0.612104,0.24333298,0.200000
8,8,38.6555,28990,1177,0,200,794,0,134,3,200,1.465288,0.604007,0.25436828,0.165000
9,9,39.2400,31231,1177,0,200,794,0,133,1,200,0.951292,0.618745,0.26027089,0.150000
0,0,60.6601,15586,1479,0,15,799,480,788,506,20,21.766110,0.669273,0.08089616,0.245000
0,0,42.1148,15446,1477,0,11,799,484,796,498,16,14.483197,0.611127,0.05465524,0.230000
1,1,49.3156,16538,1272,0,46,795,453,751,38,47,1.568353,0.621528,0.05729596,0.287500
2,2,42.2198,17891,1187,0,137,794,363,607,142,137,2.875643,0.567580,0.10435355,0.201667
3,3,45.9507,19466,1225,5,188,794,307,524,83,193,2.228411,0.573590,0.13798472,0.340000
